,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,0,1,0,0,1,0,1,0
AGC,0,7,0,1,13,3,11,0
ASC-H,0,2,0,1,24,0,21,0
ASC-US,1,6,4,4,69,4,54,0
HSIL,0,4,1,6,60,3,34,0
LSIL,1,3,1,6,48,3,31,0
NILM,0,27,12,16,169,13,162,0
SC,0,0,0,0,1,1,2,0
