,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,2,0,0,0,0,0,0,1
AGC,5,21,3,3,1,0,2,0
ASC-H,2,5,28,0,2,5,5,1
ASC-US,3,31,31,28,17,10,17,5
HSIL,1,22,14,6,46,9,6,4
LSIL,1,23,14,5,20,23,4,3
NILM,2,79,75,38,47,37,110,11
SC,0,1,0,0,0,0,0,3
