,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,0,0,0,1,3,0,0,0
AGC,1,14,1,9,2,4,2,0
ASC-H,1,4,5,11,10,10,12,0
ASC-US,2,22,2,38,17,23,36,0
HSIL,0,5,2,19,47,20,11,2
LSIL,1,7,3,13,21,38,5,1
NILM,7,30,8,81,46,79,155,1
SC,0,0,1,0,1,2,0,0
