,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,2,0,0,0,0,0,1,0
AGC,0,22,2,2,4,1,3,1
ASC-H,1,5,23,2,6,5,5,1
ASC-US,1,29,14,41,31,13,12,1
HSIL,2,11,8,3,69,12,2,1
LSIL,0,15,9,4,27,36,2,0
NILM,3,38,36,62,84,34,141,1
SC,0,0,1,0,1,0,0,2
