,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,3,0,0,1,0,0,0,0
AGC,0,21,1,9,0,0,2,0
ASC-H,0,7,13,14,8,5,5,1
ASC-US,0,10,5,83,14,5,27,1
HSIL,1,8,7,19,56,5,10,1
LSIL,0,5,15,16,29,14,8,3
NILM,0,18,18,98,35,5,228,1
SC,0,0,0,0,2,0,0,2
