,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,3,0,0,0,1,0,0,0
AGC,1,20,3,4,2,3,0,0
ASC-H,0,3,30,4,2,9,4,1
ASC-US,0,20,14,70,8,12,16,0
HSIL,2,9,8,8,56,13,8,2
LSIL,0,8,8,9,14,41,5,4
NILM,1,35,40,89,23,32,186,1
SC,0,0,0,0,0,0,0,4
