,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,3,1,0,0,0,0,0,0
AGC,0,27,3,1,1,0,2,0
ASC-H,0,4,27,5,5,5,2,0
ASC-US,0,24,14,62,13,17,16,0
HSIL,0,11,16,13,46,21,4,2
LSIL,0,12,9,7,6,51,3,2
NILM,2,42,55,72,54,44,141,2
SC,0,3,1,0,0,0,0,0
