,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,1,2,0,0,0,1,0,0
AGC,0,22,1,1,4,2,2,1
ASC-H,1,4,32,1,5,6,4,0
ASC-US,1,23,35,32,23,15,10,1
HSIL,0,9,15,2,58,15,7,0
LSIL,1,9,18,5,27,27,2,0
NILM,4,51,98,39,50,31,130,4
SC,0,0,0,0,1,0,0,3
