,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,2,0,0,2,0,0,0,0
AGC,2,21,3,1,3,1,2,1
ASC-H,0,10,15,2,9,8,4,0
ASC-US,1,27,24,29,23,25,17,0
HSIL,2,13,16,15,38,22,7,0
LSIL,2,10,9,11,27,23,8,0
NILM,4,47,59,71,58,52,120,1
SC,0,0,1,1,1,0,1,0
