,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,2,0,0,0,1,1,0,0
AGC,0,27,1,1,1,3,1,0
ASC-H,0,5,22,5,4,5,7,0
ASC-US,0,14,24,64,8,20,16,0
HSIL,0,10,16,7,60,14,5,1
LSIL,0,12,14,9,8,41,2,4
NILM,1,41,60,90,26,43,149,2
SC,0,1,0,1,0,1,0,1
