,A,AGC,ASC-H,ASC-US,HSIL,LSIL,NILM,SC
A,3,0,0,1,0,0,0,0
AGC,0,18,0,8,2,2,3,0
ASC-H,1,5,22,6,4,2,13,0
ASC-US,0,14,4,76,8,4,38,1
HSIL,1,5,8,16,52,6,18,1
LSIL,0,12,10,15,18,22,13,0
NILM,1,25,16,55,15,11,280,0
SC,0,1,0,0,0,0,0,3
