,precision,recall,f1-score,support
A,0.75,0.75,0.75,4.0
AGC,0.30434782608695654,0.6363636363636364,0.4117647058823529,33.0
ASC-H,0.22033898305084745,0.24528301886792453,0.23214285714285715,53.0
ASC-US,0.3458333333333333,0.5724137931034483,0.43116883116883115,145.0
HSIL,0.3888888888888889,0.5233644859813084,0.44621513944223107,107.0
LSIL,0.4117647058823529,0.15555555555555556,0.22580645161290322,90.0
NILM,0.8142857142857143,0.56575682382134,0.6676427525622255,403.0
SC,0.2222222222222222,0.5,0.3076923076923077,4.0
accuracy,0.5005959475566151,0.5005959475566151,0.5005959475566151,0.5005959475566151
macro avg,0.43221020921878944,0.49359216421165164,0.43405413068796356,839.0
weighted avg,0.5751886103485727,0.5005959475566151,0.5122403889404001,839.0
