,precision,recall,f1-score,support
A,0.0,0.0,0.0,4.0
AGC,0.17073170731707318,0.42424242424242425,0.24347826086956523,33.0
ASC-H,0.22727272727272727,0.09433962264150944,0.13333333333333333,53.0
ASC-US,0.22093023255813954,0.2714285714285714,0.24358974358974358,140.0
HSIL,0.3197278911564626,0.44339622641509435,0.3715415019762846,106.0
LSIL,0.2159090909090909,0.42696629213483145,0.28679245283018867,89.0
NILM,0.7013574660633484,0.3808353808353808,0.49363057324840764,407.0
SC,0.0,0.0,0.0,4.0
accuracy,0.35526315789473684,0.35526315789473684,0.35526315789473684,0.35526315789473684
macro avg,0.23199113940960525,0.2551510647122265,0.2215457332309404,836.0
weighted avg,0.46312127713676365,0.35526315789473684,0.376817684451437,836.0
