,precision,recall,f1-score,support
A,0.125,0.6666666666666666,0.21052631578947367,3.0
AGC,0.11538461538461539,0.6,0.1935483870967742,35.0
ASC-H,0.1696969696969697,0.5833333333333334,0.26291079812206575,48.0
ASC-US,0.35,0.19718309859154928,0.25225225225225223,142.0
HSIL,0.3458646616541353,0.42592592592592593,0.3817427385892116,108.0
LSIL,0.27380952380952384,0.24731182795698925,0.2598870056497175,93.0
NILM,0.7638888888888888,0.2756892230576441,0.40515653775322286,399.0
SC,0.10714285714285714,0.75,0.1875,4.0
accuracy,0.3137019230769231,0.3137019230769231,0.3137019230769231,0.3137019230769231
macro avg,0.28134843957212374,0.46826375944151355,0.26919050440658976,832.0
weighted avg,0.5171836819135655,0.3137019230769231,0.34092605346397714,832.0
