,precision,recall,f1-score,support
A,0.4444444444444444,1.0,0.6153846153846154,4.0
AGC,0.3333333333333333,0.6060606060606061,0.43010752688172044,33.0
ASC-H,0.37623762376237624,0.7169811320754716,0.4935064935064935,53.0
ASC-US,0.5,0.36551724137931035,0.42231075697211157,145.0
HSIL,0.6162790697674418,0.4953271028037383,0.5492227979274611,107.0
LSIL,0.4172661870503597,0.6444444444444445,0.5065502183406113,90.0
NILM,0.8173652694610778,0.6774193548387096,0.7408412483039348,403.0
SC,1.0,1.0,1.0,4.0
accuracy,0.599523241954708,0.599523241954708,0.599523241954708,0.599523241954708
macro avg,0.5631157409773792,0.6882187352002851,0.5947404571646185,839.0
weighted avg,0.6461411117159078,0.599523241954708,0.6090123633621152,839.0
