,precision,recall,f1-score,support
A,0.15384615384615385,0.5,0.23529411764705882,4.0
AGC,0.1640625,0.6176470588235294,0.25925925925925924,34.0
ASC-H,0.11811023622047244,0.3125,0.17142857142857143,48.0
ASC-US,0.2196969696969697,0.19863013698630136,0.20863309352517986,146.0
HSIL,0.2389937106918239,0.336283185840708,0.27941176470588236,113.0
LSIL,0.17557251908396945,0.25555555555555554,0.2081447963800905,90.0
NILM,0.7547169811320755,0.2912621359223301,0.4203152364273205,412.0
SC,0.0,0.0,0.0,4.0
accuracy,0.29142185663924797,0.29142185663924797,0.29142185663924797,0.29142185663924797
macro avg,0.22812488383393312,0.31398475914105306,0.22281085492167035,851.0
weighted avg,0.4673205297084293,0.29142185663924797,0.3195316484872851,851.0
