,precision,recall,f1-score,support
A,0.0,0.0,0.0,3.0
AGC,0.14,0.2,0.16470588235294117,35.0
ASC-H,0.0,0.0,0.0,48.0
ASC-US,0.11764705882352941,0.028169014084507043,0.045454545454545456,142.0
HSIL,0.15584415584415584,0.5555555555555556,0.2434077079107505,108.0
LSIL,0.1111111111111111,0.03225806451612903,0.05,93.0
NILM,0.5126582278481012,0.40601503759398494,0.45314685314685316,399.0
SC,0.0,0.0,0.0,4.0
accuracy,0.28365384615384615,0.28365384615384615,0.28365384615384615,0.28365384615384615
macro avg,0.1296575692033622,0.15274970896877207,0.11958937360813629,832.0
weighted avg,0.3044723767173506,0.28365384615384615,0.2691861516789109,832.0
